scheme_code,nav_value,date
119517,31.4075,2022-12-19
119517,31.3116,2022-12-20
119517,31.3073,2022-12-21
119517,31.7583,2022-12-22
119517,31.3576,2022-12-23
119517,31.3718,2022-12-26
119517,31.4494,2022-12-27
119517,31.405,2022-12-28
119517,31.0994,2022-12-29
119517,31.5557,2022-12-30
119517,32.1309,2023-01-12
119517,32.2826,2023-01-13
119517,32.4711,2023-01-16
119517,32.1162,2023-01-19
119517,31.7738,2023-01-20
119517,32.2929,2023-01-23
119517,32.6923,2023-01-24
119517,32.6392,2023-01-25
119517,32.8841,2023-01-27
119517,32.7369,2023-01-30
119517,32.6016,2023-01-31
119517,33.0389,2023-02-01
119517,33.4712,2023-02-02
119517,33.561,2023-02-03
119517,33.4168,2023-02-06
119517,33.2135,2023-02-07
119517,33.4386,2023-02-08
119517,33.3991,2023-02-09
119517,33.0255,2023-02-10
119517,32.9506,2023-02-13
119517,33.4307,2023-02-14
119517,33.2104,2023-02-15
119517,33.2981,2023-02-16
119517,32.9776,2023-02-17
119517,33.0759,2023-02-20
119517,33.0027,2023-02-21
119517,32.5761,2023-02-22
119517,32.4424,2023-02-23
119517,32.5039,2023-02-24
119517,32.1823,2023-02-27
119517,32.2338,2023-02-28
119517,32.1056,2023-03-01
119517,31.9238,2023-03-02
119517,31.8988,2023-03-03
119517,32.1866,2023-03-06
119517,31.6596,2023-03-08
119517,31.7966,2023-03-09
119517,31.3037,2023-03-10
119517,31.041,2023-03-13
119517,30.7762,2023-03-14
119517,31.3338,2023-03-15
119517,30.936,2023-03-16
119517,31.3384,2023-03-17
119517,31.0485,2023-03-20
119517,31.3718,2023-03-21
119517,31.7475,2023-03-22
119517,31.3481,2023-03-23
119517,31.3475,2023-03-24
119517,31.2625,2023-03-27
119517,31.4985,2023-03-28
119517,31.6754,2023-03-29
119517,32.1704,2023-03-31
119517,32.4548,2023-04-03
119517,32.1363,2023-04-05
119517,31.9804,2023-04-06
119517,32.1054,2023-04-10
119517,32.2873,2023-04-11
119517,32.3959,2023-04-12
119517,32.2913,2023-04-13
119517,32.4129,2023-04-17
119517,32.5402,2023-04-18
119517,32.5803,2023-04-19
119517,32.6522,2023-04-20
119517,32.5831,2023-04-21
119517,32.4522,2023-04-24
119517,32.4249,2023-04-25
119517,32.0501,2023-04-26
119517,31.9131,2023-04-27
119517,32.1911,2023-04-28
119517,32.4389,2023-05-02
119517,32.1157,2023-05-03
119517,32.0612,2023-05-04
119517,31.8437,2023-05-05
119517,32.2303,2023-05-08
119517,32.2784,2023-05-09
119517,32.1552,2023-05-10
119517,32.094,2023-05-11
119517,32.0266,2023-05-12
119517,32.053,2023-05-15
119517,32.2726,2023-05-16
119517,32.0311,2023-05-17
119517,32.3634,2023-05-18
119517,32.641,2023-05-19
119517,32.6814,2023-05-22
119517,32.6569,2023-05-23
119517,32.2898,2023-05-24
119517,31.8175,2023-05-25
